run_tag,n,k,V_count,alpha,alpha_odd,alpha_sq,eq1_alphaodd_eq_alpha,eq2_alphaodd_eq_alphasq,seconds
run_20251208-144601,2,1,2,1,1,1,True,True,0.619
run_20251208-144601,3,1,3,1,1,1,True,True,0.013
run_20251208-144601,4,1,4,1,1,1,True,True,0.012
run_20251208-144601,4,2,6,3,3,3,True,True,0.005
run_20251208-144601,5,1,5,1,1,1,True,True,0.004
run_20251208-144601,5,2,10,4,3,1,False,False,0.009
run_20251208-144601,6,1,6,1,1,1,True,True,0.008
run_20251208-144601,6,2,15,5,5,1,True,False,0.015
run_20251208-144601,6,3,20,10,10,10,True,True,0.006
run_20251208-144601,7,1,7,1,1,1,True,True,0.004
run_20251208-144601,7,2,21,6,3,1,False,False,0.062
run_20251208-144601,7,3,35,15,15,7,True,False,0.046
run_20251208-144601,8,1,8,1,1,1,True,True,0.003
run_20251208-144601,8,2,28,7,7,1,True,False,0.036
run_20251208-144601,8,3,56,21,16,1,False,False,5.348
run_20251208-144601,8,4,70,35,35,35,True,True,0.027
run_20251208-144601,9,1,9,1,1,1,True,True,0.008
run_20251208-144601,9,2,36,8,3,1,False,False,1.258
run_20251208-144601,9,3,84,28,,1,False,False,60.511
